diff_coefs_serial,velocity_magnitude,Reaction Graph F1
0.2,1.0,0.4
0.4,2.5,0.8571428571428571
0.1,2.0,1.0
0.4,2.0,1.0
0.4,2.5,1.0
0.01,3.0,0.8571428571428571
0.005,1.0,1.0
0.005,2.5,1.0
0.05,2.0,1.0
0.4,1.0,0.8
0.05,2.0,0.6666666666666666
0.01,1.0,0.8571428571428571
0.01,1.0,1.0
0.2,3.0,0.8
0.4,2.0,1.0
0.01,1.0,1.0
0.4,2.5,1.0
0.4,2.0,1.0
0.2,2.5,1.0
0.1,1.0,0.8
0.1,1.5,1.0
0.1,3.0,1.0
0.4,1.5,1.0
0.4,1.5,1.0
0.1,1.5,1.0
0.1,2.0,1.0
0.2,1.0,1.0
0.4,1.5,1.0
0.01,2.5,1.0
0.1,2.0,1.0
0.1,2.5,1.0
0.05,1.5,1.0
0.01,2.0,0.8571428571428571
0.005,3.0,1.0
0.05,2.0,1.0
0.2,2.0,0.6666666666666666
0.05,3.0,1.0
0.01,1.5,0.8571428571428571
0.05,2.0,1.0
0.05,2.5,0.8
0.4,3.0,1.0
0.005,2.0,1.0
0.1,3.0,1.0
0.005,2.5,1.0
0.2,1.5,0.8
0.01,1.0,1.0
0.005,2.0,0.8571428571428571
0.05,3.0,1.0
0.1,1.0,1.0
0.005,1.0,0.8
0.01,2.5,1.0
0.2,1.0,0.8571428571428571
0.05,2.0,1.0
0.4,1.0,0.8
0.01,1.5,0.6666666666666666
0.005,1.0,0.8571428571428571
0.01,1.0,0.8571428571428571
0.01,2.5,1.0
0.05,3.0,0.8
0.01,2.5,0.8571428571428571
0.01,2.0,1.0
0.2,2.0,1.0
0.005,2.0,0.8571428571428571
0.4,1.5,1.0
0.005,3.0,1.0
0.005,1.5,0.8571428571428571
0.2,2.5,0.8571428571428571
0.2,1.0,1.0
0.2,2.0,1.0
0.01,2.0,0.8
0.1,1.5,1.0
0.2,2.5,0.8
0.005,2.5,1.0
0.1,1.0,1.0
0.4,2.0,1.0
0.05,1.5,0.8
0.005,1.0,1.0
0.1,2.5,1.0
0.1,3.0,1.0
0.2,2.0,1.0
0.005,1.0,1.0
0.4,1.5,1.0
0.05,1.0,1.0
0.4,3.0,1.0
0.05,1.0,1.0
0.05,1.0,1.0
0.1,1.5,0.8
0.4,1.5,0.8571428571428571
0.2,3.0,0.8
0.05,2.5,0.8
0.005,2.0,0.8571428571428571
0.01,3.0,1.0
0.1,1.0,0.8571428571428571
0.4,3.0,0.8571428571428571
0.005,1.5,0.8571428571428571
0.01,1.0,0.8
0.1,3.0,0.8571428571428571
0.1,3.0,0.8571428571428571
0.01,3.0,0.8571428571428571
0.005,1.0,0.8
0.4,1.0,0.6666666666666666
0.4,3.0,1.0
0.005,3.0,0.8571428571428571
0.2,3.0,0.8
0.01,3.0,0.8571428571428571
0.05,3.0,1.0
0.01,3.0,1.0
0.2,3.0,0.8571428571428571
0.005,3.0,0.8571428571428571
0.05,1.5,0.5
0.4,1.0,0.8
0.2,3.0,0.8571428571428571
0.1,1.5,0.6666666666666666
0.4,1.5,1.0
0.4,3.0,1.0
0.1,3.0,0.8571428571428571
0.4,3.0,1.0
0.4,1.0,0.6666666666666666
0.2,2.5,0.6666666666666666
0.1,1.0,0.8
0.4,1.0,0.8
0.2,2.5,0.8571428571428571
0.01,2.0,1.0
0.05,1.5,0.8571428571428571
0.005,1.0,1.0
0.01,2.5,1.0
0.2,3.0,0.8
0.01,2.0,0.8
0.05,3.0,0.8
0.05,3.0,0.8571428571428571
0.01,3.0,0.8571428571428571
0.005,1.5,0.8571428571428571
0.01,2.5,0.8571428571428571
0.005,1.5,1.0
0.01,2.5,0.8571428571428571
0.2,2.0,1.0
0.2,2.5,0.8
0.2,2.0,1.0
0.4,2.5,1.0
0.01,1.5,0.6666666666666666
0.2,1.5,1.0
0.05,2.5,1.0
0.01,2.0,0.8571428571428571
0.1,2.5,0.8
0.2,1.5,0.8
0.005,1.5,1.0
0.005,2.0,0.8571428571428571
0.01,1.5,1.0
0.005,2.5,1.0
0.05,2.5,0.8571428571428571
0.2,1.5,0.8571428571428571
0.05,2.5,0.8
0.005,1.5,0.8571428571428571
0.005,3.0,1.0
0.005,3.0,1.0
0.05,1.0,1.0
0.05,1.0,1.0
0.05,1.5,0.5
0.01,1.5,0.8571428571428571
0.05,2.0,1.0
0.05,2.5,0.8
0.2,3.0,0.8571428571428571
0.05,2.0,1.0
0.2,2.5,1.0
0.2,1.0,1.0
0.005,2.5,1.0
0.005,2.0,0.8571428571428571
0.005,2.0,1.0
0.4,2.0,1.0
0.2,1.0,0.5
0.1,2.0,0.8571428571428571
0.05,1.5,0.8
0.005,2.5,0.8571428571428571
0.01,3.0,0.8571428571428571
0.01,1.0,0.8
0.4,2.5,0.8571428571428571
0.005,2.5,0.8571428571428571
0.1,2.0,1.0
0.1,1.0,0.8
0.2,1.0,1.0
0.01,1.5,1.0
0.4,2.0,1.0
0.1,1.0,0.8
0.4,1.0,0.6666666666666666
0.005,3.0,1.0
0.1,1.5,0.8
0.01,2.0,0.8571428571428571
0.2,1.5,1.0
0.05,1.0,1.0
0.4,2.5,1.0
0.4,2.0,1.0
0.05,1.5,1.0
0.2,1.5,1.0
0.4,3.0,1.0
0.05,3.0,1.0
0.4,2.5,0.8571428571428571
0.1,2.5,1.0
0.005,1.5,1.0
0.1,2.5,0.8571428571428571
0.1,2.5,0.8
0.1,3.0,1.0
0.2,1.5,1.0
0.1,1.5,1.0
0.05,2.5,1.0
0.2,2.0,1.0
