filename,cd_alg,pc_alpha,graph_p_threshold,velocity_angle,velocity_magnitude,react_rate,init_concentration,t_max,diff_coefs_serial,M-Stencil Angle Difference,angle_error_exceeds_45
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_0.5000000000000001_0.8660254037844386_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,1.0,1.0,50,0.8,0.2,26.541021626228314,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.7677669529663689_1.7677669529663687_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,2.5,1.0,50,0.8,0.4,0.0,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_2.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,2.0,1.0,50,0.8,0.1,0.0006553945169969211,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_2.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,2.0,1.0,50,0.8,0.4,0.9790416587148343,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_2.8284271247461903_2.82842712474619_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,4.0,1.0,50,0.8,0.005,0.0,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_1.035276180410083_3.8637033051562732_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,4.0,1.0,50,0.8,0.05,67.8644179747948,True
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.2500000000000002_2.1650635094610964_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,2.5,1.0,50,0.8,0.4,37.20282562200666,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_1.5000000000000004_2.598076211353316_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,3.0,1.0,50,0.8,0.01,13.077194731302313,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_0.25881904510252074_0.9659258262890683_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.0,1.0,50,0.8,0.005,13.488431744944194,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_2.165063509461097_1.2499999999999998_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,2.5,1.0,50,0.8,0.005,9.154537883414207,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_2.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,2.0,1.0,50,0.8,0.05,179.97592888058148,True
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_0.8660254037844387_0.49999999999999994_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,1.0,1.0,50,0.8,0.4,105.88966953193417,True
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_1.4142135623730951_1.414213562373095_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,2.0,1.0,50,0.8,0.05,179.89467231322882,True
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_0.5000000000000001_0.8660254037844386_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,1.0,1.0,50,0.8,0.01,45.75699901193582,True
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_6.123233995736766e-17_1.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,1.0,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_1.5000000000000004_2.598076211353316_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,3.0,1.0,50,0.8,0.2,14.916465780090618,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.7320508075688774_0.9999999999999999_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,2.0,1.0,50,0.8,0.4,34.474903186958386,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_1.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,1.0,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_0.6470476127563018_2.4148145657226707_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,2.5,1.0,50,0.8,0.4,24.318467836597392,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.9318516525781366_0.5176380902050415_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,2.0,1.0,50,0.8,0.4,61.037282208877116,True
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_2.5_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,2.5,1.0,50,0.8,0.2,0.0013182104779616566,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_0.25881904510252074_0.9659258262890683_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.0,1.0,50,0.8,0.1,15.0,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_2.8284271247461903_2.82842712474619_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,4.0,1.0,50,0.8,0.2,0.0,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_0.7500000000000002_1.299038105676658_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,1.5,1.0,50,0.8,0.1,25.199977610435695,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_1.8369701987210297e-16_3.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,3.0,1.0,50,0.8,0.1,4.0125092539256e-05,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.5_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,1.5,1.0,50,0.8,0.4,0.11510525901127266,False
